ADMIN,LAT,LON
Panama,8.518057314,-80.07104511
Papua New Guinea,-6.834760878,143.0464597
Paraguay,-23.23840821,-58.39126243
Peru,-9.167216491,-74.37537796
Philippines,14.599512,120.984222
Pitcairn,-24.2051566,-127.9093208
Poland,52.12847492,19.40086
Portugal,39.23901506,-30.21832194
Puerto Rico,18.22412124,-66.47814528
Qatar,25.29089005,51.1841661
Réunion,-21.12280909,55.55123933
Republic of Korea,36.52377792,127.8821461
Republic of Moldova,47.19293174,28.47499987
Republic of North Macedonia,41.59654823,21.69480535
Romania,45.84314501,24.96613666
Russian Federation,61.97564081,96.67837519
Rwanda,-1.991722808,29.92068123
Saint Kitts and Nevis,17.32619066,-62.7533967
Saint Lucia,13.90391475,-60.96175259
Saint Vincent and The Grenadines,13.25481082,-61.19376585
Samoa,-13.16992041,-173.5139768
San Marino,43.94362477,12.45862763
Sao Tome and Principe,0.227069777,6.614376446
Saudi Arabia,24.12628999,44.54637538
Senegal,14.35710542,-14.4780169
Serbia,44.03017332,20.80259395
Seychelles,-4.651257344,55.46250801
Sierra Leone,8.571898577,-11.77850059
Singapore,1.344965221,103.8094495
Slovakia,48.70609262,19.49110883
Slovenia,46.123589,14.82836958
Solomon Islands,-9.64571,160.156194
Somalia,5.152149,46.199616
South Africa,-28.99235649,25.09025016
South Sudan,7.295889595,30.30870192
Spain,40.3097875,-3.578125378
Sri Lanka,7.617249894,80.70787736
Sudan,16.04892872,30.00339118
Suriname,4.125518847,-55.91480138
Svalbard and Jan Mayen Islands,77.62362195,6.012261852
Sweden,62.88018421,16.72425629
Switzerland,46.80615952,8.243637777
Syrian Arab Republic,35.01105189,38.51123805
Taiwan (Province of China),23.74652012,120.9621301
Tajikistan,38.52699814,71.04232577
Thailand,15.15949511,101.020107
Timor-Leste,-8.767718612,126.0420452
Togo,8.541637601,0.97409513
Tokelau,-9.195175351,-171.8526597
Tonga,-21.18441,-175.198242
Trinidad and Tobago,10.40535665,-61.29228487
Tunisia,34.10810736,9.557630913
Turkey,38.91218946,35.69849765
Turkmenistan,39.12455662,59.38935348
Turks and Caicos Islands,21.81744592,-71.77770318
Tuvalu,-10.46069351,181.0881855
Uganda,1.280667326,32.38662225
Ukraine,49.01900507,31.37809941
United Arab Emirates,23.90525867,54.35072869
United Kingdom of Great Britain and Northern Ireland,53.75504855,-2.103843405
United Republic of Tanzania,-6.273241244,34.79620168
United States of America,45.73643438,-112.404207
Uruguay,-32.80198719,-56.01417232
Uzbekistan,41.74950759,63.17455249
Vanuatu,-17.734818,"	168.322021"
Venezuela (Bolivarian Republic of),7.115201972,-66.18367077
Viet Nam,21.028511,105.804817
Western Sahara,24.66295331,-13.13425705
Yemen,15.96506363,47.50305348
Zambia,-13.45369192,27.80039565
Zimbabwe,-19.00126774,29.86951021
